timestamp,state,signal,target_signal,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,pitch_rate,roll_rate,yaw_rate,packet_rate,rtt,speed,delay,car_distance,ttc
1762088583.7789874,0,0,0,1383.1099784965343,-52.53517805325839,-233.6745652928551,-0.002039409475401044,-3.1741506871172875e-05,-1.294864749502816e-05,1.997307657965e-06,9.522225444658147e-07,-1.0759128854615194e-06,78.05000305175781,45.0,0.5370000004768372,-4.0,18.196786880493164,14220.863943281474
1762088583.8789895,0,0,0,1383.1100662258382,-52.535283564978705,-233.67483514019284,-0.001735428348183632,-2.077922863531688e-05,4.8993847449773005e-06,3.067136867820498e-06,-1.5540009272570221e-06,-1.5797143258717988e-06,77.97000122070312,100.0,0.5370000004768372,40.0,18.19666862487793,18651.721086544818
1762088583.9789875,0,0,0,1383.1101868236533,-52.53538843406811,-233.67523069497702,-0.002070093061774969,-5.891005741168878e-05,-7.481805759449593e-05,-4.342623208925423e-06,-7.603432320748076e-07,6.299118669730253e-07,78.45999908447266,117.0,0.5370000004768372,35.0,18.196592330932617,6837.147414583903
1762088584.0789945,0,0,0,1383.1103496032358,-52.53550150534866,-233.67469879647007,-0.0025654383935034275,8.665708730385996e-06,-8.543054753799978e-05,-3.920747355542996e-06,-3.5589303710189547e-07,-2.3632801553652474e-06,78.20999908447266,87.0,0.5370000004768372,16.0,18.196399688720703,5764.235706916057
1762088584.1789882,0,0,0,1383.1102979301481,-52.53549267736981,-233.67502548086844,-0.0021994207054376602,1.814264754408649e-05,-0.00013986474289160545,-9.760116790617441e-06,1.1481105670018376e-06,5.2172845903239336e-06,78.58000183105469,151.0,0.5379999876022339,57.0,18.19641876220703,8326.524091223682
1762088584.2789938,0,0,0,1383.1102491048862,-52.535459264019856,-233.67502562354144,-0.0019879299215972424,-3.825465214618097e-06,-3.675764714357679e-05,2.205635221217048e-06,-3.8287275382046025e-06,-7.575727160580098e-07,78.97000122070312,166.0,0.5379999876022339,51.0,18.19650650024414,5752.262371242147
1762088584.3789876,0,0,0,1383.1102340667694,-52.53540253714081,-233.67611672970878,-0.0016971637960523367,-3.4688747254917405e-05,-2.2964483190596718e-05,-7.01646997590787e-07,3.2530405308163266e-06,1.9927626834775094e-06,78.36000061035156,72.0,0.5379999876022339,17.0,18.196535110473633,5419.460373672803
1762088584.478988,0,0,0,1383.1102406699326,-52.535346672519836,-233.6748203894499,-0.0017109703039750457,2.3789594900537183e-05,-3.999814024032082e-05,-2.946023511496292e-06,3.592983238710587e-06,7.371843223654295e-07,78.05999755859375,48.0,0.5379999876022339,-1.0,18.19663429260254,5397.296328328535
1762088584.5789943,0,0,0,1383.110282007364,-52.53529621352385,-233.6742534971438,-0.0019359170692041516,3.307381136908097e-05,-3.62240257810681e-05,2.3546464668240164e-08,2.06619432324643e-06,-1.5314449005088584e-07,78.41000366210938,113.0,0.5379999876022339,58.0,18.19667625427246,5059.717496747207
1762088584.6789844,0,0,0,1383.1103456233704,-52.53523827666448,-233.67350245442418,-0.0016914727166295052,-3.959168912663913e-06,-9.055997874144404e-05,1.2164067750272152e-06,2.9943236357290203e-07,-2.411699188046832e-06,78.41999816894531,108.0,0.5379999876022339,4.0,18.196624755859375,5428.688536391788
1762088584.778993,0,0,0,1383.110412052698,-52.535191194171865,-233.67369526940035,-0.0016574873588979244,8.906592549670702e-05,-5.491005426934001e-05,9.705895479952344e-06,1.101651706605506e-06,-9.969618359604717e-07,78.95999908447266,113.0,0.5379999876022339,42.0,18.196617126464844,5484.2915963065425
1762088584.878991,0,0,0,1383.1105067075694,-52.53516493656149,-233.67337354823735,-0.0015812625642865896,4.6670815010772485e-05,8.187396094451666e-05,2.431388907602375e-06,1.2951423132906333e-06,2.373398300204695e-06,78.5999984741211,112.0,0.5379999876022339,36.0,18.19657325744629,5763.18370533181
1762088584.9789891,0,0,0,1383.1106217934089,-52.535124787978475,-233.6731049809207,-0.0012916562845930457,7.437761891353598e-05,3.6414706086327774e-05,-1.4571425465316633e-06,1.7751486119022697e-06,2.6653225274498357e-06,78.2699966430664,142.0,0.5379999876022339,76.0,18.196533203125,6345.172753096968
1762088585.078992,0,0,0,1383.1107542359116,-52.535071089768195,-233.67266058915567,-0.0012722322717308998,7.23099423043351e-05,-5.2745727111285173e-05,3.5674074364580894e-07,1.422865258414357e-06,5.692310129317145e-07,78.1500015258789,151.0,0.5379999876022339,46.0,18.196430206298828,6388.406780093281
1762088585.179008,0,0,0,1383.110704531302,-52.535064758485035,-233.67323589220393,-0.0015951225068420172,2.6476200058702144e-05,-4.2059282439051915e-05,5.5208745755657635e-06,1.3980158494669085e-06,-1.950042821925294e-06,78.30000305175781,110.0,0.5379999876022339,61.0,18.196489334106445,5737.9691942538175
