timestamp,state,signal,target_signal,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,pitch_rate,roll_rate,yaw_rate,packet_rate,rtt,speed,delay,car_distance,ttc
1761892995.1523862,0,0,0,1420.776917324301,-113.36764646750932,-233.50877989710074,7.065372483339161e-05,3.090229133702204e-05,0.00010134431917902437,-2.193790999830988e-06,7.366815609457869e-06,4.4082269812860845e-06,0,0,0,0,0,-0.0
1761892995.2524962,0,0,0,1420.776642011862,-113.36712740569538,-233.50904005157992,0.0004748390056192875,-8.759380187992314e-05,3.5994027992281935e-08,3.3197453112928564e-06,-1.1119448318485908e-06,-1.0174855115491527e-06,0,0,0,0,0,-0.0
1761892995.3523324,0,0,0,1420.776303325273,-113.36659662608893,-233.50915841271257,0.0006287941941991448,-0.0001620265368292271,4.379589126169442e-05,1.6022351530437427e-06,-1.2200736905686894e-05,-1.375462759791125e-06,0,0,0,0,0,-0.0
1761892995.4523556,0,0,0,1420.775880366337,-113.36617666607866,-233.5097385388816,0.0008478149538859725,0.00012039131036318996,1.0620727518307862e-05,2.9145668115819946e-06,2.9278158742769107e-07,1.0966819663458618e-06,0,0,0,0,0,-0.0
1761892995.5523753,0,0,0,1420.775547686345,-113.36561561349372,-233.50954643178608,0.0012851129285991192,9.908836181483898e-06,1.8204776458517118e-06,-1.188510709999478e-07,1.0904419161668496e-06,6.807269123401872e-06,0,0,0,0,0,-0.0
1761892995.652346,0,0,0,1420.775236892401,-113.36504973758748,-233.50895924614719,0.0015753386542201042,-0.00014734397870724776,-1.0595828467207938e-05,1.383204125907953e-08,6.597523193139445e-07,-9.2844176909053e-07,0,0,0,0,0,-0.0
1761892995.7523563,0,0,0,1420.7748530505974,-113.36447044766561,-233.5088931609315,0.0017324193613603711,-8.923551399662576e-05,4.1079403452610897e-05,3.478214955875783e-06,-1.1957859158532774e-05,-1.2135577468043242e-06,0,0,0,0,0,-0.0
1761892995.8523445,0,0,0,1420.7743870163536,-113.36398828971927,-233.50931442517663,0.002093794522807002,7.316410620111479e-05,2.515481396559134e-05,1.2285191250801306e-06,-2.691971443703837e-06,1.4577123618063534e-06,0,0,0,0,0,-0.0
1761892995.9523485,0,0,0,1420.7739552647536,-113.36341872190495,-233.50910908932548,0.0023031937889754772,9.930249808642633e-05,-3.4562317880956474e-05,5.5122473233319354e-06,2.941022849852963e-07,-3.622304493640556e-07,0,0,0,0,0,-0.0
1761892996.052341,0,0,0,1420.7735544266118,-113.36286896733453,-233.5090681494114,0.0023396287579089403,-0.00011134963900293586,-1.73852703620011e-05,2.221867158481864e-06,3.6387912721766723e-06,3.016633371869201e-06,0,0,0,0,0,-0.0
1761892996.1523664,0,0,0,1420.7744444276957,-113.36226088478747,-233.51014594159318,0.002222148235887289,-6.48542251591578e-05,1.4109420069363234e-05,1.3808516558212176e-06,-2.7611367572496002e-06,-1.017201073091141e-06,0,0,0,0,0,-0.0
1761892996.2523782,0,0,0,1420.7756270457066,-113.36178625204661,-233.5108081880025,0.001960537163540721,5.073790349416479e-05,1.6645865129776493e-05,-9.253818862286495e-07,-2.4066585467064297e-06,-1.4019229689380906e-06,0,0,0,0,0,-0.0
1761892996.3523414,0,0,0,1420.7769603866534,-113.36123722538503,-233.51203935745872,0.0015948126092553139,7.75001783198746e-05,3.727057751850026e-05,4.9800086012028525e-06,-5.537543677797364e-07,2.554480009538837e-06,0,0,0,0,0,-0.0
1761892996.4523723,0,0,0,1420.7782240717775,-113.36070424003577,-233.51144529961556,0.0015012462390586734,-6.14931690038497e-05,1.572129156359398e-05,-1.428500651014642e-06,-4.6692691504851825e-07,-1.5204747532587094e-06,0,0,0,0,0,-0.0
1761892996.552343,0,0,0,1420.7795394284965,-113.36014164576818,-233.5123792661837,0.001569682382978499,-0.0001201501658163253,8.442949771094092e-05,-2.703018495749514e-06,-7.938714777800258e-06,-1.6421693753418599e-06,0,0,0,0,0,-0.0
1761892996.652441,0,0,0,1420.7806493897099,-113.35966579207336,-233.5131784664764,0.001520565478131175,1.0718349422031563e-05,4.264561414444823e-05,1.6847753408130574e-08,-2.2836207227167792e-06,2.0234344429924865e-06,0,0,0,0,0,-0.0
1761892996.7524195,0,0,0,1420.7818628268028,-113.35911920369425,-233.51449114785243,0.0016423845663666725,4.138847955326013e-05,-4.368973045158604e-07,2.384694313504467e-06,7.785068379528559e-07,1.3987656478008214e-06,0,0,0,0,0,-0.0
1761892996.852368,0,0,0,1420.7830070663947,-113.35854648070058,-233.5142945308761,0.0015981968026608229,-7.403012664457424e-05,2.3313251947725112e-05,-3.7126057529367485e-06,-1.0002066530655098e-06,2.776816874883374e-06,0,0,0,0,0,-0.0
1761892996.9523535,0,0,0,1420.784226120911,-113.35795450215427,-233.51537146539255,0.0011392924934625626,-0.0001672992983433254,-2.6206834704074922e-05,9.321501436539641e-08,-8.857308789668805e-07,2.7421761795652495e-06,0,0,0,0,0,-0.0
1761892997.052373,0,0,0,1420.7852653908446,-113.35747562603444,-233.51557135759992,0.0010169430170208216,-1.8885716735881697e-05,2.5652461454388513e-05,-9.928696363392507e-07,-3.7284780990013678e-06,1.8215000384346069e-06,0,0,0,0,0,-0.0
1761892997.1523583,0,0,0,1420.7856568550076,-113.35714650196039,-233.5152280228902,0.001017220551148057,0.00010483550327125203,6.389759388450218e-05,-2.3340002626840286e-06,7.579980509551361e-07,-7.361520885136347e-07,0,0,0,0,0,-0.0
1761892997.2523317,0,0,0,1420.7856983941574,-113.35689484656064,-233.5153467760784,0.0012575745349749923,-4.885949494555035e-05,2.066986197243726e-05,1.800298393064028e-06,1.1737778127421274e-06,-2.6919084155728243e-07,0,0,0,0,0,-0.0
1761892997.3523703,0,0,0,1420.7857283699893,-113.35662610033663,-233.51605103535837,0.00115403370000422,-0.00017242393875308368,1.5143321254206238e-05,-6.929877075427621e-07,-2.8943918942110423e-06,-1.1964926627080714e-06,0,0,0,0,0,-0.0
