timestamp,state,signal,target_signal,x,y,car_heading,car_velocity,lateral_acc,longitudinal_acc,pitch_rate,roll_rate,yaw_rate,packet_rate,rtt,speed,delay,car_distance,ttc
1762083350.3132057,0,0,0,1375.9198950914858,-53.716629558805096,-232.18746795893878,0.0020859497599303722,-3.903196096827467e-05,4.6595764360651904e-05,4.920849726511646e-06,2.4205943976369498e-06,-1.8885436682726673e-06,78.48999786376953,125.0,0.5410000085830688,58.0,20.44736099243164,-7620.234809786105
1762083350.4132116,0,0,0,1375.920007486584,-53.716665113417996,-232.18736612347078,0.0017357098404318094,2.84403907292134e-05,0.00020957041969291203,6.694120174318876e-06,-8.068228747803178e-06,6.572431544555328e-07,78.43000030517578,63.0,0.5410000085830688,9.0,20.44730567932129,-16832.846781970617
1762083350.5132103,0,0,0,1375.9200913522227,-53.71667910812888,-232.18711833283606,0.0020648364443331957,8.293733978893234e-05,5.295767686649315e-05,3.1979253897466752e-06,6.478651198279032e-07,9.358983298330777e-07,78.80000305175781,113.0,0.5410000085830688,69.0,20.447221755981445,-26912.753192972727
1762083350.6132076,0,0,0,1375.9202326238478,-53.716646685763116,-232.1862274522254,0.001843103440478444,-3.898391365588747e-05,-5.8791519967735034e-05,6.502910776445214e-07,1.18213895801074e-06,2.07297397180797e-06,78.80000305175781,95.0,0.5429999828338623,35.0,20.447229385375977,-38004.126050363804
1762083350.7132075,0,0,0,1375.9203732325018,-53.71663079314991,-232.1850081613594,0.0013439218746498227,-8.510057828747057e-05,-4.4319704445892956e-05,3.005911347280045e-06,-3.7323366155478217e-06,1.2656125629285811e-07,78.83999633789062,74.0,0.5429999828338623,35.0,20.447086334228516,-16034.537893693327
1762083350.8132074,0,0,0,1375.9204788864297,-53.71664930577569,-232.18510694547075,0.0016154145123437047,2.5754903317231038e-05,-1.9452582719331734e-06,-5.388025718107459e-06,2.3990950254844227e-07,7.253364949959595e-07,78.66000366210938,52.0,0.5429999828338623,19.0,20.44700813293457,-13219.909742146514
1762083350.9131784,0,0,0,1375.9205518142048,-53.71663426352093,-232.18455720800625,0.0019015325233340263,-2.172930462852124e-05,-6.246966071366924e-05,-3.441926182717562e-06,3.93654433881459e-07,-1.4741158462882818e-06,78.79000091552734,126.0,0.5429999828338623,66.0,20.447025299072266,-11156.162870326083
1762083351.0132093,0,0,0,1375.9206197844273,-53.7166157372938,-232.18474412681036,0.001362480572424829,-7.164272757777962e-05,-8.490251353504937e-05,-6.017962643007566e-07,-2.9298666103113867e-07,-1.093842020925211e-06,78.79000091552734,94.0,0.5429999828338623,39.0,20.446924209594727,-15804.398755331355
1762083351.1132128,0,0,0,1375.9207362639781,-53.71662439263171,-232.18534482655343,0.0012096567079424858,-9.007959667050198e-05,-2.662033196232371e-05,2.1751017553712434e-06,2.1899439424442115e-06,2.2436406686490717e-06,78.75,78.0,0.5429999828338623,51.0,20.446773529052734,-34936.05993513306
1762083351.2132072,0,0,0,1375.9208254255752,-53.716633767068785,-232.1848372583894,0.0015951994573697448,2.023931522390988e-05,6.323970679286644e-05,1.8195287572990056e-07,6.370101533815703e-07,-1.800836971815308e-06,78.58999633789062,89.0,0.5429999828338623,56.0,20.446775436401367,-21061.66069405949
1762083351.3132076,0,0,0,1375.9208664515681,-53.71664444781729,-232.18527051195025,0.0013637510128319263,9.150694932970144e-05,5.057745150370419e-05,5.63316042612987e-06,-2.4511557934115153e-06,-2.12079496167519e-06,78.55000305175781,102.0,0.5429999828338623,36.0,20.44681739807129,-11032.866467300095
1762083351.4132113,0,0,0,1375.9208974591045,-53.71665023851713,-232.18543562735067,0.001598966890014708,8.715169983792765e-06,1.3430449848263395e-05,1.1805328626735203e-06,1.8108321275719368e-06,-2.39881453409954e-06,78.31999969482422,114.0,0.5429999828338623,59.0,20.446802139282227,-9790.278355496583
1762083351.5132115,0,0,0,1375.920887583471,-53.71663886562032,-232.1857940043119,0.0016981364460662007,-4.2939771190124974e-05,-1.631317502464765e-05,-1.948263256064689e-06,8.186980187363423e-07,1.087454829646692e-07,78.43000030517578,95.0,0.5429999828338623,24.0,20.44695472717285,-9346.53959712572
1762083351.6132116,0,0,0,1375.9208598317816,-53.716667734572745,-232.186463495382,0.001361331669613719,-7.48490236370173e-05,-9.676476391304092e-05,-1.1465255332198433e-06,-2.8011405292450883e-06,2.1114885538410058e-06,78.37000274658203,106.0,0.5429999828338623,51.0,20.447120666503906,-19439.796795688166
